NCBI_gene:55768	OMIM:615273
NCBI_gene:7704	OMIM:612447
NCBI_gene:27286	OMIM:300643
NCBI_gene:128674	OMIM:244200
NCBI_gene:176	OMIM:612813
NCBI_gene:54938	OMIM:613845
NCBI_gene:8200	OMIM:228900
NCBI_gene:6223	OMIM:105650
NCBI_gene:7263	OMIM:180370
NCBI_gene:3265	OMIM:218040
NCBI_gene:128178	ORPHANET:248
NCBI_gene:2068	OMIM:278730
NCBI_gene:57094	OMIM:614417
NCBI_gene:6913	OMIM:260660
NCBI_gene:1910	OMIM:600501
NCBI_gene:87178	OMIM:614932
NCBI_gene:6392	OMIM:114900
NCBI_gene:8792	OMIM:612301
NCBI_gene:2073	ORPHANET:220295
NCBI_gene:4724	OMIM:252010
NCBI_gene:90411	OMIM:613625
NCBI_gene:2657	OMIM:613854
NCBI_gene:396	OMIM:615244
NCBI_gene:2512	OMIM:606159
NCBI_gene:2218	OMIM:611615
NCBI_gene:79776	OMIM:178300
NCBI_gene:8481	ORPHANET:791
NCBI_gene:238	ORPHANET:635
NCBI_gene:8028	OMIM:601626
NCBI_gene:80326	ORPHANET:99798
NCBI_gene:6597	OMIM:614609
NCBI_gene:23169	OMIM:269250
NCBI_gene:4747	OMIM:607684
NCBI_gene:8799	ORPHANET:44
NCBI_gene:6578	ORPHANET:2796
NCBI_gene:7276	OMIM:115430
NCBI_gene:81794	ORPHANET:3449
NCBI_gene:64241	OMIM:611465
NCBI_gene:3050	OMIM:142310
NCBI_gene:613	OMIM:613065
NCBI_gene:343035	OMIM:610612
NCBI_gene:3482	OMIM:114550
NCBI_gene:9445	OMIM:176500
NCBI_gene:6473	OMIM:300582
NCBI_gene:54928	OMIM:614078
NCBI_gene:1409	ORPHANET:1377
NCBI_gene:55215	ORPHANET:84
NCBI_gene:11231	OMIM:174050
NCBI_gene:7170	ORPHANET:2020
NCBI_gene:23189	OMIM:612900
NCBI_gene:283989	OMIM:225753
NCBI_gene:114548	OMIM:191900
NCBI_gene:203	OMIM:612631
NCBI_gene:60529	OMIM:609597
NCBI_gene:23414	OMIM:187500
NCBI_gene:4864	OMIM:257220
NCBI_gene:5880	OMIM:608203
NCBI_gene:5925	OMIM:180200
NCBI_gene:9821	OMIM:114480
NCBI_gene:2120	OMIM:601626
NCBI_gene:975	ORPHANET:1572
NCBI_gene:8864	OMIM:604348
NCBI_gene:8517	OMIM:300584
NCBI_gene:6755	OMIM:102200
NCBI_gene:9950	OMIM:188550
NCBI_gene:7372	OMIM:258900
NCBI_gene:2200	OMIM:604308
NCBI_gene:9152	OMIM:614618
NCBI_gene:5897	OMIM:601457
NCBI_gene:23417	OMIM:248360
NCBI_gene:1621	OMIM:223360
NCBI_gene:5165	OMIM:300905
NCBI_gene:652	OMIM:600625
NCBI_gene:6121	OMIM:204100
NCBI_gene:60529	ORPHANET:35093
NCBI_gene:5296	OMIM:603387
