gene_id	gene_label
OMIM:100070	AAA1
OMIM:100650	ALDH2
OMIM:100678	ACAT2
OMIM:100690	CHRNA1
OMIM:100710	CHRNB1
OMIM:100720	CHRND
OMIM:100725	CHRNE
OMIM:100730	CHRNG
OMIM:100740	ACHE
OMIM:100790	ASCL1
OMIM:100850	ACO2
OMIM:101850	PPKP3
OMIM:102300	RLS1
OMIM:102480	ACR
OMIM:102510	ACRPV
OMIM:102540	ACTC1
OMIM:102560	ACTG1
OMIM:102565	FLNC
OMIM:102573	ACTN2
OMIM:102574	ACTN3
OMIM:102575	ACTN1
OMIM:102576	ACVR1
OMIM:102578	PML
OMIM:102582	STAT3
OMIM:102600	APRT
OMIM:102610	ACTA1
OMIM:102620	ACTA2
OMIM:102630	ACTB
OMIM:102680	ADD1
OMIM:102699	AAVS1
OMIM:102750	ADK
OMIM:102770	AMPD1
OMIM:102772	AMPD3
OMIM:103000	AK1
OMIM:103020	AK2
OMIM:103220	SLC25A4
OMIM:103280	H19
OMIM:103320	AGRN
OMIM:103600	ALB
OMIM:103720	ADH1B
OMIM:103730	ADH1C
OMIM:103850	ALDOA
OMIM:103950	A2M
OMIM:104000	AA1
OMIM:104150	AFP
OMIM:104155	ZFHX3
OMIM:104170	NAGA
OMIM:104210	ADRA2A
OMIM:104225	LRPAP1
OMIM:104250	ADRA2C
OMIM:104311	PSEN1
OMIM:104614	SLC3A1
OMIM:104620	ACY1
OMIM:104750	SAA1
OMIM:104760	APP
OMIM:104770	APCS
OMIM:105580	ANC
OMIM:105590	ALK
OMIM:105600	CDAN3
OMIM:105800	ANIB1
OMIM:105850	ANG
OMIM:106150	AGT
OMIM:106165	AGTR1
OMIM:106180	ACE
OMIM:106410	ANK2
OMIM:106700	TAPVR1
OMIM:107200	ANIC
OMIM:107265	CD19
OMIM:107269	CD44
OMIM:107271	CD59
OMIM:107280	SERPINA3
OMIM:107300	SERPINC1
OMIM:107320	ATPLS
OMIM:107323	ALDH7A1
OMIM:107400	SERPINA1
OMIM:107410	PIL
OMIM:107470	IFNGR1
OMIM:107580	TFAP2A
OMIM:107670	APOA2
OMIM:107680	APOA1
OMIM:107690	APOA4
OMIM:107720	APOC3
OMIM:107730	APOB
OMIM:107741	APOE
OMIM:107770	LRP1
OMIM:107776	AQP1
OMIM:107777	AQP2
OMIM:107910	CYP19A1
OMIM:107920	KAR
OMIM:107930	DDC
OMIM:108345	NAT1
OMIM:108420	SPGF2
OMIM:108600	SPAX1
OMIM:108725	ATHS
OMIM:108730	ATP2A1
OMIM:108733	ATP2B2
OMIM:108740	ATP2A2
OMIM:108780	NPPA
OMIM:108800	ASD1
OMIM:108961	NPR2
OMIM:108962	NPR3
OMIM:109180	BEVI
OMIM:109200	AFA1
OMIM:109270	SLC4A1
OMIM:109350	GER
OMIM:109480	BSG
OMIM:109535	CD40
OMIM:109543	CLLS2
OMIM:109560	BCL3
OMIM:109565	BCL6
OMIM:109630	ADRB1
OMIM:109670	BAS
OMIM:109690	ADRB2
OMIM:109691	ADRB3
OMIM:109700	B2M
OMIM:109720	PBC1
OMIM:109750	BLVRA
OMIM:109760	HTR1A
OMIM:110300	ABO
OMIM:110600	ART4
OMIM:110750	GYPC
OMIM:111100	FUT3
OMIM:111300	GYPA
OMIM:111680	RHD
OMIM:111700	RHCE
OMIM:111740	GYPB
OMIM:111800	SF
OMIM:112205	CD79A
OMIM:112210	MS4A1
OMIM:112250	DMSMFH
OMIM:112261	BMP2
OMIM:112262	BMP4
OMIM:112264	BMP1
OMIM:112410	HTNB
OMIM:113505	BDNF
OMIM:113520	BCAT1
OMIM:113530	BCAT2
OMIM:113705	BRCA1
OMIM:113721	BCPR
OMIM:113730	UCP1
OMIM:113810	DST
OMIM:113811	COL17A1
OMIM:114019	CDH15
OMIM:114021	CDH3
OMIM:114130	CALCA
OMIM:114131	CALCR
OMIM:114180	CALM1
OMIM:114200	CAMPD1
OMIM:114205	CACNA1C
OMIM:114206	CACNA1D
OMIM:114208	CACNA1S
OMIM:114240	CAPN3
OMIM:114251	CASQ2
OMIM:114350	NUP214
OMIM:114580	CANDF1
OMIM:114760	CA4
OMIM:114800	CA1
OMIM:114815	CA8
OMIM:114835	CES1
OMIM:114840	CEL
OMIM:115470	CECR
OMIM:115500	CAT
OMIM:115501	TYRP1
OMIM:115650	CTAA1
OMIM:115660	CCA1
OMIM:115665	CCV
OMIM:116790	COMT
OMIM:116806	CTNNB1
OMIM:116840	CTSD
OMIM:116897	CEBPA
OMIM:116899	CDKN1A
OMIM:116955	CNBP
OMIM:117100	ECT
OMIM:117700	CP
OMIM:118190	HSPD1
OMIM:118423	CHN1
OMIM:118425	CLCN1
OMIM:118444	CCKAR
OMIM:118470	CETP
OMIM:118485	CYP11A1
OMIM:118490	CHAT
OMIM:118494	CHRM3
OMIM:118502	CHRNA2
OMIM:118503	CHRNA3
OMIM:118504	CHRNA4
OMIM:118505	CHRNA5
OMIM:118507	CHRNB2
OMIM:118511	CHRNA7
OMIM:118661	VCAN
OMIM:118840	CHR
OMIM:118943	CYMP
OMIM:118945	CNTF
OMIM:119100	SHFL1
OMIM:119530	OFC1
OMIM:120050	CXB3S
OMIM:120070	COL4A3
OMIM:120090	COL4A2
OMIM:120110	COL10A1
OMIM:120120	COL7A1
OMIM:120130	COL4A1
OMIM:120131	COL4A4
OMIM:120140	COL2A1
OMIM:120150	COL1A1
OMIM:120160	COL1A2
OMIM:120180	COL3A1
OMIM:120190	COL5A2
OMIM:120210	COL9A1
OMIM:120215	COL5A1
OMIM:120220	COL6A1
OMIM:120240	COL6A2
OMIM:120250	COL6A3
OMIM:120252	COL8A2
OMIM:120260	COL9A2
OMIM:120270	COL9A3
OMIM:120280	COL11A1
OMIM:120290	COL11A2
OMIM:120324	COL14A1
OMIM:120328	COL18A1
OMIM:120353	MMP1
OMIM:120355	MMP8
OMIM:120360	MMP2
OMIM:120361	MMP9
OMIM:120436	MLH1
OMIM:120470	DCC
OMIM:120502	BOS2
OMIM:120520	MME
OMIM:120550	C1QA
OMIM:120570	C1QB
OMIM:120575	C1QC
OMIM:120580	C1S
OMIM:120620	CR1
